PIPELINE-REFERENCE,REVISION,N_S_,WELD-NO,WELD-TYPE,PIPING-SPEC,SPOOL-DRAWING-SEQUENCE-NUMBER,ISO NO,SPOOL-ID,ok
PK101XA-C-1511.01,0,1,FA15,BW,FB8,1-Jan,1,PK101XA-C-1511.01-1,
PK101XA-C-1511.01,0,1,FA5,BW,FB8,1-Jan,1,PK101XA-C-1511.01-1,
PK101XA-C-1511.01,0,1,FA6,BW,FB8,1-Jan,1,PK101XA-C-1511.01-1,
PK101XA-C-1511.01,0,1,FA13,BW,FB8,1-Jan,1,PK101XA-C-1511.01-1,
PK101XA-C-1511.01,0,1,FA14,BW,FB8,1-Jan,1,PK101XA-C-1511.01-1,
PK101XA-C-1511.01,0,1,FA12,BW,FB8,1-Jan,1,PK101XA-C-1511.01-1,
PK101XA-C-1511.01,0,1,FA4,BW,FB8,1-Jan,1,PK101XA-C-1511.01-1,
PK101XA-C-1511.01,0,4-Mar,FA9,BW,FB8,1-Jan,1,PK101XA-C-1511.01-1,
PK101XA-C-1511.01,0,1,FA16,BW,FB8,1-Jan,1,PK101XA-C-1511.01-1,
PK101XA-C-1511.01,0,1,FA2,BW,FB8,1-Jan,1,PK101XA-C-1511.01-1,
PK101XA-C-1511.01,0,1,FA3,BW,FB8,1-Jan,1,PK101XA-C-1511.01-1,
PK101XA-C-1511.01,0,1,FA11,BW,FB8,1-Jan,1,PK101XA-C-1511.01-1,
PK101XA-C-1511.01,0,1,FA8,BW,FB8,1-Jan,1,PK101XA-C-1511.01-1,
PK101XA-C-1511.01,0,1,FA10,BW,FB8,1-Jan,1,PK101XA-C-1511.01-1,
PK101XA-C-1511.01,0,1,FA1,BW,FB8,1-Jan,1,PK101XA-C-1511.01-1,
PK101XA-C-1511.01,0,1,FA17,BW,FB8,1-Jan,1,PK101XA-C-1511.01-1,
PK101XA-C-1511.01,0,1,FA18,BW,FB8,1-Jan,1,PK101XA-C-1511.01-1,
PK101XA-C-1511.01,0,1,FA21,BW,FB8,1-Jan,1,PK101XA-C-1511.01-1,
PK101XA-C-1511.01,0,1,FA22,BW,FB8,1-Jan,1,PK101XA-C-1511.01-1,
PK101XA-C-1511.01,0,1,FA19,BW,FB8,1-Jan,1,PK101XA-C-1511.01-1,
PK101XA-C-1511.01,0,4-Mar,FA20,BW,FB8,1-Jan,1,PK101XA-C-1511.01-1,
