PIPELINE-REFERENCE,N_S_,WELD-NO,WELD-TYPE,PIPING-SPEC,ISO NO,SPOOL-DRAWING-SEQUENCE-NUMBER,SPOOL-ID,SCHEDULE,ok
64001-P3B121D-6,4-Mar,FA55,BW,P3B121D,7,4-Jul,6-7114-7-4,,
64005-P1A4L-6,4-Mar,FA24,OLET,P1A4L,10,2-Oct,6-7114-10-2,STD,
64008-P1B206AC-6,4-Mar,FA4,BW,P1B206AC,14,14-1,6-7114-14-1,,
64008-P1B206AC-6,4-Mar,FA5,BW,P1B206AC,14,14-1,6-7114-14-1,,
64008-P1B206AC-6,4-Mar,FA6,BW,P1B206AC,14,14-1,6-7114-14-1,,
64008-P1B206AC-6,4-Mar,FA7,BW,P1B206AC,14,14-1,6-7114-14-1,,
64008-P1B206AC-6,4-Mar,FA8,BW,P1B206AC,14,14-2,6-7114-14-2,,
64008-P1B206AC-6,4-Mar,FA9,BW,P1B206AC,14,14-2,6-7114-14-2,,
64008-P1B206AC-6,4-Mar,FA10,BW,P1B206AC,14,14-2,6-7114-14-2,,
64008-P1B206AC-6,4-Mar,FA11,BW,P1B206AC,14,14-2,6-7114-14-2,,
64008-P1B206AC-6,4-Mar,FA12,BW,P1B206AC,14,14-2,6-7114-14-2,,
64011-P3B121D-6,4-Mar,FA1,BW,P3B121D,18,18-1,6-7114-18-1,,
64011-P3B121D-6,4-Mar,FA2,BW,P3B121D,18,18-1,6-7114-18-1,,
64011-P3B121D-6,4-Mar,FA3,BW,P3B121D,18,18-1,6-7114-18-1,,
64019-P3B121D-6,4-Mar,FA30,BW,P3B121D,25,25-1,6-7114-25-1,,
64019-P3B121D-6,4-Mar,FA31,BW,P3B121D,25,25-1,6-7114-25-1,,
64020-P3B121D-6,4-Mar,FA42,BW,P3B121D,27,27-2,6-7114-27-2,,
64020-P3B121D-6,4-Mar,FA43,BW,P3B121D,27,27-2,6-7114-27-2,,
64031-P1B43BL-6,4-Mar,FA25,OLET,P1B43BL,32,32-1,6-7114-32-1,,
64031-P1B43BL-6,4-Mar,FA27,BW,P1B43BL,33,33-1,6-7114-33-1,10S,
64031-P1B43BL-6,4-Mar,FA28,BW,P1B43BL,33,33-1,6-7114-33-1,10S,
64031-P1B43BL-6,4-Mar,FA29,BW,P1B43BL,33,33-1,6-7114-33-1,10S,
64031-P1B43BL-6,4-Mar,FA30,BW,P1B43BL,33,33-1,6-7114-33-1,10S,
64031-P1B43BL-6,4-Mar,FA31,BW,P1B43BL,33,33-1,6-7114-33-1,10S,
64031-P1B43BL-6,4-Mar,FA32,BW,P1B43BL,33,33-2,6-7114-33-2,10S,
64034-P1B43BL-6,4-Mar,FA1,BW,P1B43BL,38,38-1,6-7114-38-1,10S,
64034-P1B43BL-6,4-Mar,FA2,BW,P1B43BL,38,38-1,6-7114-38-1,10S,
64034-P1B43BL-6,4-Mar,FA3,BW,P1B43BL,38,38-1,6-7114-38-1,10S,
64034-P1B43BL-6,4-Mar,FA4,BW,P1B43BL,38,38-1,6-7114-38-1,10S,
64034-P1B43BL-6,4-Mar,FA5,BW,P1B43BL,38,38-1,6-7114-38-1,10S,
64034-P1B43BL-6,4-Mar,FA6,BW,P1B43BL,38,38-1,6-7114-38-1,10S,
64034-P1B43BL-6,4-Mar,FA7,BW,P1B43BL,38,38-1,6-7114-38-1,10S,
64034-P1B43BL-6,4-Mar,FA8,BW,P1B43BL,38,38-1,6-7114-38-1,10S,
64034-P1B43BL-6,4-Mar,FA9,BW,P1B43BL,38,38-1,6-7114-38-1,10S,
64034-P1B43BL-6,4-Mar,FA10,BW,P1B43BL,38,38-1,6-7114-38-1,10S,
64034-P1B43BL-6,4-Mar,FA11,BW,P1B43BL,38,38-1,6-7114-38-1,10S,
